what,kind,bundleId,bundleVersion,description,time
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1392761672584
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392761674786
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392761675023
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1392761686222
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1392761723065
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1392761743165
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1392761743667
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392761744732
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392761745011
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392761760397
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392761769549
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1392761774028
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392761775872
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392761776110
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1392761783326
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1392761852578
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1392761857220
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1392761864758
