what,kind,bundleId,bundleVersion,description,time
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1392841825396
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1392841828392
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1392841850559
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392841883650
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392841936545
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1392841939910
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1392841940169
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1392841940180
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1392841940278
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1392841940294
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1392841940966
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392841948880
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1392841956518
started,bundle,org.eclipse.core.externaltools,1.0.100.v20110506,"org.eclipse.core.externaltools",1392841956643
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392841969238
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1392841969267
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1392841986916
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392842000802
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392842003707
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392842014647
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392842044545
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392842081723
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392842098199
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1392842098221
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1392842100764
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1392842160448
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1392842161274
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1392842185726
error,log,,,"StructuredTextViewer.exception.verifyText",1392842231070
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392842292866
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392842298001
